"Part";"Value";"Device";"Package";"Description";"";
"C1";"4.7uF";"CAP1206";"1206";"Capacitor";"";
"C2";"4.7uf-10uf";"CAP1206";"1206";"Capacitor";"";
"C3";"4.7uf-10uf";"CAP1206";"1206";"Capacitor";"";
"C4";"100nf";"CAP1206";"1206";"Capacitor";"";
"C5";"4.7uf-10uf";"CAP1206";"1206";"Capacitor";"";
"D1";"B340A";"DIODE-SCHOTTKY-B340A";"SMA-DIODE";"Schottky diodes in SFE's production catalog";"";
"IC1";"MCP1663";"MCP1663";"SOT23-5";"";"";
"IC2";"MCP73831";"MCP73831";"SOT23-5";"Miniature single cell, fully integrated Li-Ion, Li-polymer charge management controller";"";
"JP1";"";"M03POLAR_LOCK";"MOLEX-1X3_LOCK";"Header 3";"";
"JP2";"M02JST-PTH-VERT";"M02JST-PTH-VERT";"JST-2-PTH-VERT";"Standard 2-pin 0.1" header. Use with";"";
"JP3";"USB-MICROB";"USB-MICROB";"USB-MICROB";"USB Connectors";"";
"L1";"4.7uH";"INDUCTOR1210";"1210";"Inductors";"";
"LED1";"RED";"LED1206";"LED-1206";"LEDs";"";
"LED2";"GRN";"LED1206";"LED-1206";"LEDs";"";
"LED3";"BLUE";"LED1206";"LED-1206";"LEDs";"";
"LED4";"YEL";"LED1206";"LED-1206";"LEDs";"";
"R1";"120k";"RESISTOR1206";"1206";"Resistor";"";
"R2";"1.05M";"RESISTOR1206";"1206";"Resistor";"";
"R3";"2k";"RESISTOR1206";"1206";"Resistor";"";
"R4";"470";"RESISTOR1206";"1206";"Resistor";"";
"R5";"470";"RESISTOR1206";"1206";"Resistor";"";
"R6";"470";"RESISTOR1206";"1206";"Resistor";"";
"R7";"470";"RESISTOR1206";"1206";"Resistor";"";
"S1";"";"SWITCH-SPDTKIT";"SWITCH-SPDT_KIT";"SPDT Switch";"";
"U2";"APX803L 3.08v";"ADP160";"SOT23";"RESET GENERATOR SOT23";"";
